distance,consume,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip,trip_in_hour,avg_speed
5.3,4.1,21.5,9,SP98,0,0,0,12.5,0.21729999999999997,0.416,0.5666666666666667,9.352941176470589
26.2,5.8,21.0,8,SP98,1,1,0,13.0,1.5195999999999998,2.907,1.1833333333333333,22.140845070422536
18.8,5.0,21.5,9,SP98,0,1,0,12.5,0.94,1.798,1.0333333333333334,18.193548387096772
4.9,6.9,21.0,12,SP98,0,1,0,9.0,0.3381,0.647,0.4166666666666667,11.76
12.4,5.4,21.0,11,SP98,1,1,0,10.0,0.6696000000000001,1.281,0.3,41.333333333333336
22.9,5.3,20.5,7,SP98,0,0,0,13.5,1.2137,2.322,0.75,30.53333333333333
162.7,5.5,23.0,1,SP98,0,0,0,22.0,8.9485,17.118,1.25,130.16
4.9,6.5,21.0,1,SP98,0,0,0,20.0,0.3185,0.609,0.43333333333333335,11.307692307692308
11.8,4.7,21.0,4,SP98,0,0,0,17.0,0.5546000000000001,1.061,0.6,19.666666666666668
16.6,5.1,21.0,7,SP98,0,0,0,14.0,0.8466,1.62,0.9333333333333333,17.78571428571429
12.4,5.7,21.0,7,SP98,0,0,0,14.0,0.7068000000000001,1.352,0.6166666666666667,20.10810810810811
15.9,5.4,21.0,7,SP98,0,0,0,14.0,0.8586000000000001,1.643,0.4166666666666667,38.16
5.1,8.7,23.5,5,SP98,0,0,0,18.5,0.44369999999999993,0.849,0.35,14.571428571428571
22.4,4.9,20.5,7,SP98,0,0,0,13.5,1.0976000000000001,2.1,1.1,20.36363636363636
31.1,4.7,20.5,7,SP98,0,0,0,13.5,1.4617000000000002,2.796,0.7,44.42857142857143
4.9,6.3,20.5,3,SP98,0,0,0,17.5,0.30870000000000003,0.591,0.45,10.88888888888889
11.8,5.1,23.0,4,SP98,0,1,0,19.0,0.6018,1.151,0.43333333333333335,27.23076923076923
22.9,6.0,23.0,4,SP98,0,1,0,19.0,1.3739999999999997,2.628,0.7,32.714285714285715
12.4,4.6,23.0,1,SP98,0,1,0,22.0,0.5704,1.091,0.6333333333333333,19.578947368421055
12.9,5.8,23.0,4,SP98,0,0,0,19.0,0.7482,1.431,0.6666666666666666,19.35
11.8,5.1,23.0,0,SP98,0,0,0,23.0,0.6018,1.151,0.7166666666666667,16.46511627906977
12.2,5.8,23.0,2,SP98,0,0,0,21.0,0.7075999999999999,1.354,0.9666666666666667,12.620689655172413
24.8,4.6,23.0,3,SP98,0,0,0,20.0,1.1408,2.182,0.9166666666666666,27.054545454545455
14.2,5.6,23.0,8,SP98,0,0,0,15.0,0.7951999999999999,1.521,0.4,35.49999999999999
11.8,4.6,23.0,0,SP98,0,1,0,23.0,0.5428000000000001,1.038,0.6333333333333333,18.631578947368425
12.2,6.3,23.0,0,SP98,0,1,0,23.0,0.7686,1.47,0.95,12.842105263157894
24.7,5.5,25.0,1,SP98,0,0,0,24.0,1.3585,2.599,0.9333333333333333,26.46428571428571
6.8,4.3,24.0,2,SP98,0,0,0,22.0,0.2924,0.559,0.7666666666666667,8.869565217391303
17.3,5.6,21.5,1,SP98,0,0,0,20.5,0.9688,1.853,0.6166666666666667,28.054054054054053
11.8,4.3,21.5,-3,SP98,0,0,0,24.5,0.5074000000000001,0.971,0.7333333333333333,16.090909090909093
15.9,5.7,21.5,5,SP98,0,0,0,16.5,0.9063000000000001,1.734,0.7666666666666667,20.73913043478261
5.1,6.4,21.5,4,SP98,0,0,0,17.5,0.3264,0.624,0.65,7.846153846153845
16.1,4.5,21.5,6,SP98,0,0,0,15.5,0.7245,1.386,0.55,29.272727272727273
11.8,4.5,21.5,3,SP98,0,0,0,18.5,0.531,1.016,0.7166666666666667,16.46511627906977
4.2,6.0,21.5,5,SP98,0,0,0,16.5,0.252,0.482,0.43333333333333335,9.692307692307692
17.4,5.1,21.5,5,SP98,0,0,0,16.5,0.8873999999999999,1.698,0.5,34.8
23.5,6.0,21.5,5,SP98,0,1,0,16.5,1.41,2.697,0.4166666666666667,56.4
11.8,4.5,21.5,5,SP98,0,1,0,16.5,0.531,1.016,0.6333333333333333,18.631578947368425
12.3,6.1,21.5,10,SP98,0,1,0,11.5,0.7503,1.435,1.0166666666666666,12.098360655737705
16.1,5.4,21.5,7,E10,0,1,0,14.5,0.8694000000000002,1.622,0.4,40.25
11.8,4.3,21.5,10,E10,0,1,0,11.5,0.5074000000000001,0.947,0.6666666666666666,17.700000000000003
12.3,5.4,21.5,13,E10,0,0,0,8.5,0.6642,1.239,0.9666666666666667,12.724137931034484
12.4,4.3,21.5,17,E10,0,0,0,4.5,0.5332,0.995,0.8166666666666667,15.183673469387756
7.0,5.2,21.5,17,E10,0,0,0,4.5,0.364,0.679,0.4166666666666667,16.8
11.8,4.1,21.5,10,E10,0,0,0,11.5,0.48379999999999995,0.903,0.6166666666666667,19.135135135135137
20.1,4.4,21.5,18,E10,0,0,0,3.5,0.8844000000000001,1.65,0.6833333333333333,29.414634146341466
20.8,4.5,21.5,10,E10,0,0,0,11.5,0.936,1.747,0.75,27.733333333333334
1.7,10.8,21.5,10,E10,0,1,0,11.5,0.18359999999999999,0.343,0.23333333333333334,7.285714285714286
35.9,4.7,21.5,12,E10,0,0,0,9.5,1.6872999999999998,3.149,0.75,47.86666666666667
36.9,4.8,21.5,5,E10,0,0,0,16.5,1.7711999999999997,3.305,0.8666666666666667,42.57692307692307
16.8,4.0,21.5,8,E10,0,0,0,13.5,0.672,1.254,0.7666666666666667,21.913043478260867
9.9,5.0,21.5,9,E10,0,0,0,12.5,0.495,0.924,0.4666666666666667,21.214285714285715
22.9,4.6,21.5,7,E10,0,1,0,14.5,1.0534,1.966,1.0166666666666666,22.524590163934427
17.3,5.0,21.5,6,E10,1,1,0,15.5,0.865,1.614,1.0166666666666666,17.016393442622952
11.8,4.3,21.5,7,E10,0,0,0,14.5,0.5074000000000001,0.947,0.6166666666666667,19.135135135135137
36.6,5.2,21.5,7,E10,0,1,0,14.5,1.9032000000000002,3.551,1.3333333333333333,27.450000000000003
44.9,4.7,21.5,8,E10,0,0,0,13.5,2.1103,3.938,1.0333333333333334,43.4516129032258
11.8,4.2,21.5,9,E10,0,1,0,12.5,0.49560000000000004,0.925,0.5666666666666667,20.823529411764707
21.6,5.3,21.5,9,E10,0,1,0,12.5,1.1448,2.136,0.7333333333333333,29.454545454545457
39.4,5.3,21.5,9,E10,0,1,0,12.5,2.0882,3.897,1.0,39.4
5.1,8.1,21.5,4,E10,0,0,0,17.5,0.41309999999999997,0.771,0.65,7.846153846153845
26.6,4.8,21.5,7,E10,0,0,0,14.5,1.2768000000000002,2.383,0.6333333333333333,42.00000000000001
53.2,5.1,21.5,2,E10,0,0,0,19.5,2.7132,5.063,1.1833333333333333,44.95774647887324
18.9,4.4,21.5,2,E10,0,0,0,19.5,0.8316,1.552,0.8833333333333333,21.39622641509434
43.5,5.0,21.5,3,E10,0,0,0,18.5,2.175,4.059,1.3333333333333333,32.625
6.1,6.3,21.5,5,E10,0,0,0,16.5,0.3843,0.717,0.43333333333333335,14.076923076923075
16.4,4.8,21.5,5,E10,0,0,0,16.5,0.7871999999999999,1.469,0.8166666666666667,20.081632653061224
12.3,6.1,21.5,6,E10,0,0,0,15.5,0.7503,1.4,0.6666666666666666,18.450000000000003
21.1,4.6,21.5,8,E10,0,0,0,13.5,0.9706,1.811,0.6,35.16666666666667
21.1,4.8,21.5,7,E10,0,0,0,14.5,1.0128,1.89,0.7166666666666667,29.44186046511628
22.7,4.7,21.5,6,E10,0,0,0,15.5,1.0669,1.991,0.9166666666666666,24.763636363636365
44.4,4.8,21.5,8,E10,0,0,0,13.5,2.1311999999999998,3.977,0.6333333333333333,70.10526315789474
35.8,4.4,21.5,6,E10,0,0,0,15.5,1.5752000000000002,2.939,0.85,42.11764705882353
11.8,4.9,21.5,0,E10,0,0,0,21.5,0.5782,1.079,0.7333333333333333,16.090909090909093
26.2,4.9,21.5,6,E10,0,0,0,15.5,1.2838,2.396,0.7,37.42857142857143
40.6,4.4,21.0,3,E10,0,0,0,18.0,1.7864000000000002,3.333,0.7333333333333333,55.36363636363637
12.4,5.3,21.0,-5,E10,0,0,0,26.0,0.6572,1.226,0.6333333333333333,19.578947368421055
14.1,5.3,21.0,-3,E10,0,0,0,24.0,0.7472999999999999,1.394,0.7833333333333333,18.0
58.7,4.8,21.0,0,E10,0,0,0,21.0,2.8176,5.258,1.25,46.96
16.2,5.2,21.0,0,E10,0,0,0,21.0,0.8423999999999999,1.572,0.48333333333333334,33.51724137931034
12.3,4.9,22.5,0,E10,0,0,0,22.5,0.6027000000000001,1.125,0.8333333333333334,14.76
12.3,7.1,22.5,0,E10,1,1,0,22.5,0.8733,1.63,0.8666666666666667,14.192307692307693
12.4,5.2,22.5,1,E10,0,0,0,21.5,0.6448,1.203,0.85,14.588235294117649
31.8,4.7,22.5,3,E10,0,0,0,19.5,1.4946000000000002,2.789,0.9833333333333333,32.33898305084746
12.3,5.1,22.5,8,E10,0,0,0,14.5,0.6273,1.171,0.9166666666666666,13.41818181818182
51.6,5.0,22.5,12,E10,0,0,0,10.5,2.58,4.814,1.2166666666666666,42.41095890410959
38.6,4.6,22.5,10,E10,0,0,0,12.5,1.7756,3.313,0.7333333333333333,52.63636363636364
12.3,4.8,22.5,7,E10,0,0,0,15.5,0.5904,1.102,0.6833333333333333,18.0
81.2,4.4,22.0,13,E10,0,0,0,9.0,3.5728000000000004,6.667,1.15,70.60869565217392
130.3,4.6,22.0,12,E10,0,0,0,10.0,5.9938,11.184,1.4166666666666667,91.9764705882353
67.2,4.3,22.0,18,E10,0,0,0,4.0,2.8895999999999997,5.392,1.1166666666666667,60.17910447761194
43.7,4.7,22.0,9,SP98,0,1,0,13.0,2.0539,3.929,0.7333333333333333,59.5909090909091
12.1,4.2,22.0,4,SP98,0,0,0,18.0,0.5082,0.972,0.7166666666666667,16.883720930232556
